country,country_code,indicator,indicator_code,year,value
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,2024,1205973813871.44
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,2024,670025655309.603
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,2024,91570798875.9048
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,2024,2455559190577.36
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,2024,16021674099781.5
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,2024,31882663454356.9
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,2024,16406126934435.8
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,2024,29146936906252.2
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,2024,19423319451330.3
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,2024,1700322737099.85
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,2024,1132303151467.19
Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,2024,29910723278948.7
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,2024,7313631690222.71
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,2024,1495340734264.69
"Middle East, North Africa, Afghanistan & Pakistan",MEA,GDP (current US$),NY.GDP.MKTP.CD,2024,5025772564328.3
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,2024,31435123430970.3
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,2024,67687054565878.2
Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,2024,205790426259.972
Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,2024,11977251413.7163
Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,2024,63040640005163.4
Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,2024,1426898998276.72
Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,2024,309361541400.629
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,2024,4514924632400.27
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,2024,1860829213452.29
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2023,17152234636.8715
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2024,27177735527.5667
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2024,263619794506.723
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,2022,871000000.0
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2024,4039844390.22543
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,2024,80396942241.6233
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,2024,2224814814.81481
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,2024,633266692533.689
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,2024,25786585949.6346
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2023,3648573136.15155
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,2024,1752193307380.34
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,2024,521642466921.745
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,2024,74315882352.9412
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,2024,15832800000.0
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,2024,47736702127.6596
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,2024,450119424622.389
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2024,7165000000.0
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,2024,75961865471.9129
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,2024,664564181486.953
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2024,3515783328.91079
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,2024,21482643720.2743
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,2024,8980200000.0
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2023,3019253885.46989
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,2024,49668296743.8495
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,2024,28343394203.4694
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,2024,19400774882.4495
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2024,2179412080828.59
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,2024,15463134387.2013
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,2024,112211952703.831
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,2024,23250214909.5391
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2024,2162378759.3467
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,2024,2767599017.44874
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,2024,46352647034.7775
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,2024,51326764684.8595
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,2024,2241253230970.34
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,2023,7139428557.71423
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2024,2751544520.37918
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,2024,20625711664.6472
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,2023,12507927159.7265
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,2024,330267137371.592
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2024,18743803170827.2
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,2024,418542042920.189
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,2024,1546164420.32442
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,2024,70749355652.1207
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,2024,15719985776.3966
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,2024,95350423176.664
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,2024,86538413923.3943
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,2024,92526176108.621
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,2020,107351800000.0
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,2023,3281419347.37053
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,2024,36333022329.4981
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,2024,345036675975.047
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,2024,429457372071.869
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,2024,4086402718.86834
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,2024,688881481.481481
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,2024,124282245638.568
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,2024,124676074700.0
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,2024,389059911003.566
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,2024,35364960000.0
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,2024,12765777677.0622
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,2011,2065001626.01626
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,2024,42764929169.3258
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,2024,4891883720.15742
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,2022,126772707851.339
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,2023,3907323961.33964
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,2024,5840564072.77313
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,2024,299835625550.781
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2024,3162079073495.78
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,2023,6402221222.32749
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,2024,20867044935.6729
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,2024,2507519958.34857
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,2024,33776141250.5716
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2024,4659929336890.62
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,2024,82825288888.9734
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,2024,257144811301.673
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,2023,3326544174.37945
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,2024,1391435992.59259
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,2022,6910000000.0
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,2024,113199586004.477
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,2024,25334307878.737
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,2024,2119865935.24909
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,2024,24835899825.8993
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,2024,25224154990.7946
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,2024,37093565854.0437
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,2024,407106738445.069
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,2024,222904723252.11
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,2024,33462807982.85
India,IND,GDP (current US$),NY.GDP.MKTP.CD,2024,3912686168582.21
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2024,1396300098190.97
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,2024,436906331671.859
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,2024,279641257615.385
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,2024,577389475009.922
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,2022,7431257410.92713
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2024,540379921261.681
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2024,2372774547793.12
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,2024,19930288337.028
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,2024,4026210821146.81
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,2024,53352289577.4648
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,2024,288406138230.669
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2024,124498691699.125
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2024,307862546.789627
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,2023,1712792854202.37
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,2024,11148602232.663
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,2024,160227273001.348
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,2024,17478259659.2625
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,2024,16502933121.0806
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,2024,43520773851.1219
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,2023,20078620356.9931
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2024,2271541845.62002
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,2024,4750000000.0
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,2024,46636278901.9016
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,2023,8287748667.20832
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,2024,84869215513.3648
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,2024,93197329011.7078
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,2024,50183212761.3484
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2024,17420814800.7045
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,2024,11008925322.5134
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,2024,421972102253.57
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,2024,6975146349.42592
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,2024,26588067731.1692
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,2024,24322006607.9295
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,2024,280357844.229802
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,2024,10766731873.5407
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,2024,14952555414.8553
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,2024,1852722885258.11
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,2024,471425099.488675
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,2024,18200340853.6517
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,2023,9995350547.12166
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,2024,23586055802.4517
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,2024,8069536125.80285
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,2024,154430996472.752
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,2024,22416650343.4786
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,2024,74079772652.4286
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,2024,13372354268.5446
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,2024,160350639.549467
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2024,42914268286.7109
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,2024,1227543925316.41
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,2022,9623318718.31459
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,2024,260235932558.996
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,2024,19693982967.5926
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,2024,19537639288.0633
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,2024,187759703099.801
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,2024,16685236492.0675
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,2022,1096000000.0
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,2024,483727398216.364
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,2024,106942782834.85
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,2024,373071855731.539
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,2023,281849100.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2024,86260400000.0
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,2024,32538480023.9998
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,2024,44458118399.6669
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,2024,289221969059.853
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,2024,461617509782.355
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2024,914696430325.391
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,2024,308683317392.68
Puerto Rico (US),PRI,GDP (current US$),NY.GDP.MKTP.CD,2024,125841500000.0
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,2024,217982967032.967
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,2024,382767571329.158
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,2024,2173835806671.66
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,2024,14251642231.4932
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,2024,1068025243.63929
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,2022,1831700577.08904
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,2024,764274042.735043
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,2024,1237529866666.67
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,2024,32267254425.052
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,2024,89083506277.2344
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,2024,2167239562.46013
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,2024,7547843281.27425
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,2024,547386645891.847
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,2024,1735210227.92581
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,2024,141775733420.114
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,2024,72485008929.2766
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,2024,1760767447.17461
"Somalia, Fed. Rep.",SOM,GDP (current US$),NY.GDP.MKTP.CD,2024,12108515109.9996
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,2024,400260724226.067
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,2015,11997800760.2242
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,2024,1722745978335.16
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,2024,98963185509.6499
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,2024,1066681481.48148
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,2024,2549062962.96296
St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,2021,649206156.194207
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2024,1157207407.40741
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,2024,49909807029.6996
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,2024,4714267822.2233
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,2024,610117791237.089
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2024,936564198048.516
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,2023,19993439949.5435
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,2024,14204575548.5536
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,2024,78779864877.3018
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,2024,526411265427.683
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,2024,1881265333.4187
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2024,9925732119.72034
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,2023,508735107.033734
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,2024,53409988744.5968
Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,2024,1323254808058.74
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,2024,64239891739.3311
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,2024,1745378000.0
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,2023,62280311.5852172
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,2024,53651874313.9836
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,2024,190741263731.535
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,2024,537078829135.466
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2024,3643834188782.91
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2024,29184890000000.0
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,2024,80961511073.5797
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2024,114965293466.611
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,2024,1161251868.03498
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,2014,482359318767.703
Viet Nam,VNM,GDP (current US$),NY.GDP.MKTP.CD,2024,476388230307.175
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,2022,4672000000.0
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,2024,13711100000.0
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,2018,21606160663.0131
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,2024,26325775287.0226
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,2024,44187704410.1191
